#            configname    selected           comp(a)    formation_energy        clex()
    SCEL6_1_2_3_0_0_0/3           1        0.50000000         -0.31023150    -0.29949386
    SCEL6_1_2_3_0_0_0/4           1        0.50000000         -0.26877876    -0.26966167
    SCEL6_1_2_3_0_0_0/5           1        0.66666667         -0.22780846    -0.24154124
    SCEL6_1_2_3_0_0_0/6           1        0.66666667         -0.22689801    -0.22980029
    SCEL6_1_2_3_0_0_0/7           1        0.83333333         -0.11710623    -0.11961839
    SCEL6_1_2_3_1_0_0/0           1        0.16666667         -0.15315115    -0.15662158
    SCEL6_1_2_3_1_0_0/1           1        0.33333333         -0.25664693    -0.24811905
    SCEL6_1_2_3_1_0_0/2           1        0.33333333         -0.26997723    -0.26831151
    SCEL6_1_2_3_1_0_0/3           1        0.50000000         -0.29159387    -0.28210109
    SCEL6_1_2_3_1_0_0/4           1        0.50000000         -0.26790747    -0.26811778
    SCEL6_1_2_3_1_0_0/5           1        0.66666667         -0.22067955    -0.23075069
    SCEL6_1_2_3_1_0_0/6           1        0.66666667         -0.23227193    -0.23441528
    SCEL6_1_2_3_1_0_0/7           1        0.83333333         -0.11947658    -0.11807450
    SCEL6_1_3_2_1_0_0/0           1        0.16666667         -0.14564737    -0.15346233
    SCEL6_1_3_2_1_0_0/1           1        0.33333333         -0.24820136    -0.24703276
    SCEL6_1_3_2_1_0_0/2           1        0.33333333         -0.24886180    -0.25103370
    SCEL6_1_3_2_1_0_0/3           1        0.50000000         -0.26561163    -0.26376853
    SCEL6_1_3_2_1_0_0/4           1        0.50000000         -0.29080710    -0.27730507
    SCEL6_1_3_2_1_0_0/5           1        0.66666667         -0.21845321    -0.22099656
    SCEL6_1_3_2_1_0_0/6           1        0.66666667         -0.22703972    -0.22553359
    SCEL6_1_3_2_1_0_0/7           1        0.83333333         -0.12035033    -0.11750868
    SCEL6_1_6_1_1_0_0/0           1        0.16666667         -0.15338298    -0.14401807
    SCEL6_1_6_1_1_0_0/1           1        0.33333333         -0.21916237    -0.20718669
    SCEL6_1_6_1_1_0_0/2           1        0.33333333         -0.26349247    -0.25594800
    SCEL6_1_6_1_1_0_0/3           1        0.50000000         -0.21817181    -0.22046478
    SCEL6_1_6_1_1_0_0/4           1        0.50000000         -0.27772116    -0.26928344
    SCEL6_1_6_1_1_0_0/5           1        0.66666667         -0.19399079    -0.19027840
    SCEL6_1_6_1_1_0_0/6           1        0.66666667         -0.22483736    -0.22701046
    SCEL6_1_6_1_1_0_0/7           1        0.83333333         -0.11634207    -0.11090967
    SCEL6_2_1_3_0_0_1/0           1        0.16666667         -0.16325545    -0.17141745
    SCEL6_2_1_3_0_0_1/1           1        0.33333333         -0.28555928    -0.30759383
    SCEL6_2_1_3_0_0_1/2           1        0.33333333         -0.29086322    -0.27828903
    SCEL6_2_1_3_0_0_1/3           1        0.50000000         -0.40469766    -0.36182223
    SCEL6_2_1_3_0_0_1/4           1        0.50000000         -0.28777840    -0.28804807
    SCEL6_2_1_3_0_0_1/5           1        0.66666667         -0.27974252    -0.29085762
    SCEL6_2_1_3_0_0_1/6           1        0.66666667         -0.26576188    -0.26429832
    SCEL6_2_1_3_0_0_1/7           1        0.83333333         -0.14628121    -0.14313920
    SCEL6_2_1_3_0_1_1/0           1        0.16666667         -0.16846861    -0.17788852
    SCEL6_2_1_3_0_1_1/1           1        0.33333333         -0.29349691    -0.29852515
    SCEL6_2_1_3_0_1_1/2           1        0.33333333         -0.30786608    -0.31324202
    SCEL6_2_1_3_0_1_1/3           1        0.50000000         -0.35456186    -0.35185345
    SCEL6_2_1_3_0_1_1/4           1        0.50000000         -0.28851517    -0.29451914
    SCEL6_2_1_3_0_1_1/5           1        0.66666667         -0.25385148    -0.26704660
    SCEL6_2_1_3_0_1_1/6           1        0.66666667         -0.28954428    -0.31399365
    SCEL6_2_1_3_0_1_1/7           1        0.83333333         -0.14546272    -0.14961028
    SCEL6_3_1_2_0_2_1/0           1        0.16666667         -0.15083332    -0.15936775
    SCEL6_3_1_2_0_2_1/1           1        0.33333333         -0.24971681    -0.27110978
    SCEL6_3_1_2_0_2_1/2           1        0.33333333         -0.27597750    -0.26842862
    SCEL6_3_1_2_0_2_1/3           1        0.50000000         -0.31047407    -0.29889922
    SCEL6_3_1_2_0_2_1/4           1        0.50000000         -0.34301996    -0.30904896
    SCEL6_3_1_2_0_2_1/5           1        0.66666667         -0.25305821    -0.26492306
    SCEL6_3_1_2_0_2_1/6           1        0.66666667         -0.24934075    -0.24101151
    SCEL6_3_1_2_0_2_1/7           1        0.83333333         -0.14044144    -0.14447609
    SCEL6_3_2_1_0_1_0/0           1        0.16666667         -0.14794656    -0.16281390
    SCEL6_3_2_1_0_1_0/1           1        0.33333333         -0.26021198    -0.29318565
    SCEL6_3_2_1_0_1_0/2           1        0.33333333         -0.28090271    -0.26000314
    SCEL6_3_2_1_0_1_0/3           1        0.50000000         -0.36936176    -0.33660692
    SCEL6_3_2_1_0_1_0/4           1        0.50000000         -0.31145900    -0.29551467
    SCEL6_3_2_1_0_1_0/5           1        0.66666667         -0.26871618    -0.28410126
    SCEL6_3_2_1_0_1_0/6           1        0.66666667         -0.25758517    -0.25298335
    SCEL6_3_2_1_0_1_0/7           1        0.83333333         -0.14231995    -0.14457631
