#            configname    selected           comp(a)    formation_energy         clex()
    SCEL6_1_6_1_1_0_0/5           1        0.66666667         -0.19399079    -0.18901164
    SCEL6_1_6_1_1_0_0/6           1        0.66666667         -0.22483736    -0.22390634
    SCEL6_1_6_1_1_0_0/7           1        0.83333333         -0.11634207    -0.12001884
    SCEL6_2_1_3_0_0_1/3           1        0.50000000         -0.40469766    -0.39870955
    SCEL6_2_1_3_0_0_1/4           1        0.50000000         -0.28777840    -0.29575508
    SCEL6_2_1_3_0_0_1/5           1        0.66666667         -0.27974252    -0.28179899
    SCEL6_2_1_3_0_0_1/6           1        0.66666667         -0.26576188    -0.26598700
    SCEL6_2_1_3_0_0_1/7           1        0.83333333         -0.14628121    -0.14313104
    SCEL6_2_1_3_0_1_1/3           1        0.50000000         -0.35456186    -0.36047209
    SCEL6_2_1_3_0_1_1/4           1        0.50000000         -0.28851517    -0.29708946
    SCEL6_2_1_3_0_1_1/5           1        0.66666667         -0.25385148    -0.26119561
    SCEL6_2_1_3_0_1_1/6           1        0.66666667         -0.28954428    -0.29192790
    SCEL6_2_1_3_0_1_1/7           1        0.83333333         -0.14546272    -0.14446542
    SCEL6_3_1_2_0_2_1/3           1        0.50000000         -0.31047407    -0.31305432
    SCEL6_3_1_2_0_2_1/4           1        0.50000000         -0.34301996    -0.34170390
    SCEL6_3_1_2_0_2_1/5           1        0.66666667         -0.25305821    -0.25115144
    SCEL6_3_1_2_0_2_1/6           1        0.66666667         -0.24934075    -0.24853854
    SCEL6_3_1_2_0_2_1/7           1        0.83333333         -0.14044144    -0.13870091
    SCEL6_3_2_1_0_1_0/3           1        0.50000000         -0.36936176    -0.37391685
    SCEL6_3_2_1_0_1_0/4           1        0.50000000         -0.31145900    -0.31461612
    SCEL6_3_2_1_0_1_0/5           1        0.66666667         -0.26871618    -0.27392099
    SCEL6_3_2_1_0_1_0/6           1        0.66666667         -0.25758517    -0.25896808
    SCEL6_3_2_1_0_1_0/7           1        0.83333333         -0.14231995    -0.14338988
    SCEL6_3_2_1_1_1_0/3           1        0.50000000         -0.33397909    -0.33740151
    SCEL6_3_2_1_1_1_0/4           1        0.50000000         -0.30978965    -0.30864415
    SCEL6_3_2_1_1_1_0/5           1        0.66666667         -0.25496307    -0.25953578
    SCEL6_3_2_1_1_1_0/6           1        0.66666667         -0.26116267    -0.25932011
    SCEL6_3_2_1_1_1_0/7           1        0.83333333         -0.14086004    -0.14234527
    SCEL6_6_1_1_0_4_1/3           1        0.50000000         -0.27704487    -0.28280161
    SCEL6_6_1_1_0_4_1/4           1        0.50000000         -0.34536122    -0.33729759
    SCEL6_6_1_1_0_4_1/5           1        0.66666667         -0.24417982    -0.24429188
    SCEL6_6_1_1_0_4_1/6           1        0.66666667         -0.26185944    -0.25281185
    SCEL6_6_1_1_0_4_1/7           1        0.83333333         -0.14270467    -0.14181410
    SCEL6_6_1_1_0_5_3/3           1        0.50000000         -0.30723560    -0.32115867
    SCEL6_6_1_1_0_5_3/4           1        0.50000000         -0.31042933    -0.31547719
    SCEL6_6_1_1_0_5_3/5           1        0.66666667         -0.24948255    -0.25237367
    SCEL6_6_1_1_0_5_3/6           1        0.66666667         -0.29532258    -0.29494461
    SCEL6_6_1_1_0_5_3/7           1        0.83333333         -0.14618669    -0.14974342
    SCEL6_6_1_1_0_5_5/3           1        0.50000000         -0.23754328    -0.25275983
    SCEL6_6_1_1_0_5_5/4           1        0.50000000         -0.33324011    -0.34068089
    SCEL6_6_1_1_0_5_5/5           1        0.66666667         -0.22407221    -0.22259107
    SCEL6_6_1_1_0_5_5/6           1        0.66666667         -0.29166000    -0.29388197
    SCEL6_6_1_1_0_5_5/7           1        0.83333333         -0.14409098    -0.14811546
