#            configname    selected           comp(a)    formation_energy         clex()
    SCEL1_1_1_1_0_0_0/1           1        1.00000000         -0.00000000    -0.00068652
    SCEL2_1_1_2_0_0_0/0           1        0.50000000         -0.27793807    -0.27446664
    SCEL2_1_2_1_1_0_0/0           1        0.50000000         -0.31489806    -0.31234901
    SCEL2_2_1_1_0_1_1/0           1        0.50000000         -0.44575015    -0.44307394
    SCEL3_1_1_3_0_0_0/1           1        0.66666667         -0.18983046    -0.19232712
    SCEL3_1_3_1_1_0_0/1           1        0.66666667         -0.22707334    -0.22335761
    SCEL3_3_1_1_0_1_1/1           1        0.66666667         -0.26528124    -0.26654194
    SCEL4_1_1_4_0_0_0/1           1        0.50000000         -0.21259283    -0.21698897
    SCEL4_1_1_4_0_0_0/2           1        0.75000000         -0.14527030    -0.14641853
    SCEL4_1_2_2_0_0_0/1           1        0.75000000         -0.16907248    -0.17555590
    SCEL4_1_4_1_1_0_0/1           1        0.50000000         -0.25573729    -0.26027496
    SCEL4_1_4_1_1_0_0/2           1        0.75000000         -0.17367692    -0.17423296
    SCEL4_1_4_1_2_0_0/1           1        0.50000000         -0.30346717    -0.30139323
    SCEL4_1_4_1_2_0_0/2           1        0.75000000         -0.17180525    -0.17531129
    SCEL4_2_1_2_0_0_1/1           1        0.75000000         -0.21415420    -0.21101414
    SCEL4_2_1_2_0_1_1/1           1        0.50000000         -0.38608833    -0.38053049
    SCEL4_2_1_2_0_1_1/2           1        0.75000000         -0.20437203    -0.19982392
    SCEL4_2_2_1_1_0_1/1           1        0.50000000         -0.34751141    -0.34577815
    SCEL4_2_2_1_1_0_1/2           1        0.75000000         -0.19825662    -0.20485496
    SCEL4_2_2_1_1_1_0/1           1        0.75000000         -0.19851381    -0.19934136
    SCEL4_4_1_1_0_3_3/1           1        0.50000000         -0.29136835    -0.29188179
    SCEL4_4_1_1_0_3_3/2           1        0.75000000         -0.21930827    -0.21749299
    SCEL5_1_1_5_0_0_0/3           1        0.60000000         -0.18968055    -0.17532973
    SCEL5_1_1_5_0_0_0/4           1        0.60000000         -0.22532532    -0.22518293
    SCEL5_1_1_5_0_0_0/5           1        0.80000000         -0.11126028    -0.11727213
    SCEL5_1_5_1_2_0_0/2           1        0.60000000         -0.26200812    -0.25106642
    SCEL5_1_5_1_2_0_0/3           1        0.80000000         -0.14417230    -0.14266281
    SCEL5_1_5_1_4_0_0/3           1        0.60000000         -0.22775629    -0.22231503
    SCEL5_1_5_1_4_0_0/4           1        0.60000000         -0.26591433    -0.26331580
    SCEL5_1_5_1_4_0_0/5           1        0.80000000         -0.13741166    -0.14388530
    SCEL5_5_1_1_0_1_1/3           1        0.60000000         -0.34071862    -0.33213458
    SCEL5_5_1_1_0_1_1/4           1        0.60000000         -0.25901919    -0.26027515
    SCEL5_5_1_1_0_1_1/5           1        0.80000000         -0.17879946    -0.17437397
    SCEL5_5_1_1_0_3_1/3           1        0.60000000         -0.29972110    -0.29946023
    SCEL5_5_1_1_0_3_1/4           1        0.60000000         -0.30450751    -0.28580777
    SCEL5_5_1_1_0_3_1/5           1        0.80000000         -0.16700872    -0.16713055
    SCEL6_1_1_6_0_0_0/4           1        0.50000000         -0.23396028    -0.23481381
    SCEL6_1_1_6_0_0_0/5           1        0.66666667         -0.16088848    -0.14622253
    SCEL6_1_1_6_0_0_0/6           1        0.66666667         -0.19518331    -0.18910124
    SCEL6_1_1_6_0_0_0/7           1        0.83333333         -0.09733629    -0.09784120
    SCEL6_1_2_3_0_0_0/3           1        0.50000000         -0.31023150    -0.30771391
    SCEL6_1_2_3_0_0_0/4           1        0.50000000         -0.26877876    -0.26984931
    SCEL6_1_2_3_0_0_0/5           1        0.66666667         -0.22780846    -0.23082220
    SCEL6_1_2_3_0_0_0/6           1        0.66666667         -0.22689801    -0.22575846
    SCEL6_1_2_3_0_0_0/7           1        0.83333333         -0.11710623    -0.12343415
    SCEL6_1_2_3_1_0_0/3           1        0.50000000         -0.29159387    -0.28974894
    SCEL6_1_2_3_1_0_0/4           1        0.50000000         -0.26790747    -0.26851493
    SCEL6_1_2_3_1_0_0/5           1        0.66666667         -0.22067955    -0.22292663
    SCEL6_1_2_3_1_0_0/6           1        0.66666667         -0.23227193    -0.22831652
    SCEL6_1_2_3_1_0_0/7           1        0.83333333         -0.11947658    -0.12209977
    SCEL6_1_3_2_1_0_0/3           1        0.50000000         -0.26561163    -0.26693739
    SCEL6_1_3_2_1_0_0/4           1        0.50000000         -0.29080710    -0.28787126
    SCEL6_1_3_2_1_0_0/5           1        0.66666667         -0.21845321    -0.21562926
    SCEL6_1_3_2_1_0_0/6           1        0.66666667         -0.22703972    -0.21772573
    SCEL6_1_3_2_1_0_0/7           1        0.83333333         -0.12035033    -0.12036771
    SCEL6_1_6_1_1_0_0/3           1        0.50000000         -0.21817181    -0.21483137
    SCEL6_1_6_1_1_0_0/4           1        0.50000000         -0.27772116    -0.27800162
