#            configname    selected           comp(a)    formation_energy        clex()
    SCEL6_1_1_6_0_0_0/0           1        0.16666667         -0.13500666    -0.12256618
    SCEL6_1_1_6_0_0_0/1           1        0.33333333         -0.17938104    -0.15190218
    SCEL6_1_1_6_0_0_0/2           1        0.33333333         -0.22853946    -0.21695302
    SCEL6_1_1_6_0_0_0/4           1        0.50000000         -0.23396028    -0.23543493
    SCEL6_1_2_3_0_0_0/0           1        0.16666667         -0.14521059    -0.16044196
    SCEL6_1_2_3_0_0_0/1           1        0.33333333         -0.26519725    -0.26875158
    SCEL6_1_2_3_0_0_0/2           1        0.33333333         -0.25566685    -0.25391298
    SCEL6_1_2_3_0_0_0/3           1        0.50000000         -0.31023150    -0.31654927
    SCEL6_1_2_3_0_0_0/4           1        0.50000000         -0.26877876    -0.27446383
    SCEL6_1_2_3_1_0_0/0           1        0.16666667         -0.15315115    -0.15687499
    SCEL6_1_2_3_1_0_0/1           1        0.33333333         -0.25664693    -0.24581015
    SCEL6_1_2_3_1_0_0/2           1        0.33333333         -0.26997723    -0.26258653
    SCEL6_1_2_3_1_0_0/3           1        0.50000000         -0.29159387    -0.28967357
    SCEL6_1_2_3_1_0_0/4           1        0.50000000         -0.26790747    -0.27089686
    SCEL6_1_3_2_1_0_0/0           1        0.16666667         -0.14564737    -0.15521898
    SCEL6_1_3_2_1_0_0/1           1        0.33333333         -0.24820136    -0.24296151
    SCEL6_1_3_2_1_0_0/2           1        0.33333333         -0.24886180    -0.24826475
    SCEL6_1_3_2_1_0_0/3           1        0.50000000         -0.26561163    -0.26134471
    SCEL6_1_3_2_1_0_0/4           1        0.50000000         -0.29080710    -0.28634282
    SCEL6_1_6_1_1_0_0/0           1        0.16666667         -0.15338298    -0.15071382
    SCEL6_1_6_1_1_0_0/1           1        0.33333333         -0.21916237    -0.20801043
    SCEL6_1_6_1_1_0_0/2           1        0.33333333         -0.26349247    -0.25770848
    SCEL6_1_6_1_1_0_0/3           1        0.50000000         -0.21817181    -0.21574281
    SCEL6_1_6_1_1_0_0/4           1        0.50000000         -0.27772116    -0.27809430
    SCEL6_2_1_3_0_0_1/0           1        0.16666667         -0.16325545    -0.17068503
    SCEL6_2_1_3_0_0_1/1           1        0.33333333         -0.28555928    -0.29506580
    SCEL6_2_1_3_0_0_1/2           1        0.33333333         -0.29086322    -0.29320153
    SCEL6_2_1_3_0_0_1/3           1        0.50000000         -0.40469766    -0.39417470
    SCEL6_2_1_3_0_0_1/4           1        0.50000000         -0.28777840    -0.29702215
    SCEL6_2_1_3_0_1_1/0           1        0.16666667         -0.16846861    -0.17239193
    SCEL6_2_1_3_0_1_1/1           1        0.33333333         -0.29349691    -0.29338634
    SCEL6_2_1_3_0_1_1/2           1        0.33333333         -0.30786608    -0.30170857
    SCEL6_2_1_3_0_1_1/3           1        0.50000000         -0.35456186    -0.35960012
    SCEL6_2_1_3_0_1_1/4           1        0.50000000         -0.28851517    -0.29872904
    SCEL6_3_1_2_0_2_1/0           1        0.16666667         -0.15083332    -0.15286759
    SCEL6_3_1_2_0_2_1/1           1        0.33333333         -0.24971681    -0.25978337
    SCEL6_3_1_2_0_2_1/2           1        0.33333333         -0.27597750    -0.28658089
    SCEL6_3_1_2_0_2_1/3           1        0.50000000         -0.31047407    -0.31168663
    SCEL6_3_1_2_0_2_1/4           1        0.50000000         -0.34301996    -0.34105978
    SCEL6_3_2_1_0_1_0/0           1        0.16666667         -0.14794656    -0.15871411
    SCEL6_3_2_1_0_1_0/1           1        0.33333333         -0.26021198    -0.26994010
    SCEL6_3_2_1_0_1_0/2           1        0.33333333         -0.28090271    -0.28395285
    SCEL6_3_2_1_0_1_0/3           1        0.50000000         -0.36936176    -0.37269758
    SCEL6_3_2_1_0_1_0/4           1        0.50000000         -0.31145900    -0.31418104
    SCEL6_3_2_1_1_1_0/0           1        0.16666667         -0.16026067    -0.16540845
    SCEL6_3_2_1_1_1_0/1           1        0.33333333         -0.27308341    -0.27706200
    SCEL6_3_2_1_1_1_0/2           1        0.33333333         -0.28812768    -0.28104600
    SCEL6_3_2_1_1_1_0/3           1        0.50000000         -0.33397909    -0.34174249
    SCEL6_3_2_1_1_1_0/4           1        0.50000000         -0.30978965    -0.30959422
    SCEL6_6_1_1_0_4_1/0           1        0.16666667         -0.15575346    -0.15432914
    SCEL6_6_1_1_0_4_1/1           1        0.33333333         -0.26107976    -0.26127160
    SCEL6_6_1_1_0_4_1/2           1        0.33333333         -0.28499867    -0.27558870
    SCEL6_6_1_1_0_4_1/3           1        0.50000000         -0.27704487    -0.27422468
    SCEL6_6_1_1_0_4_1/4           1        0.50000000         -0.34536122    -0.33484625
    SCEL6_6_1_1_0_5_3/1           1        0.33333333         -0.26847743    -0.26587757
    SCEL6_6_1_1_0_5_3/2           1        0.33333333         -0.30453135    -0.30298297
    SCEL6_6_1_1_0_5_3/3           1        0.50000000         -0.30723560    -0.31848628
    SCEL6_6_1_1_0_5_3/4           1        0.50000000         -0.31042933    -0.31413071
    SCEL6_6_1_1_0_5_5/0           1        0.16666667         -0.15244754    -0.15308520
    SCEL6_6_1_1_0_5_5/1           1        0.33333333         -0.25069191    -0.24189971
    SCEL6_6_1_1_0_5_5/2           1        0.33333333         -0.30145919    -0.30148201
    SCEL6_6_1_1_0_5_5/3           1        0.50000000         -0.23754328    -0.25084114
    SCEL6_6_1_1_0_5_5/4           1        0.50000000         -0.33324011    -0.33935091
