#            configname    selected           comp(a)    formation_energy        clex()
    SCEL1_1_1_1_0_0_0/0           1        0.00000000         -0.00000000    0.00000000
    SCEL2_1_1_2_0_0_0/0           1        0.50000000         -0.27793807    -0.28316050
    SCEL2_1_2_1_1_0_0/0           1        0.50000000         -0.31489806    -0.32098397
    SCEL2_2_1_1_0_1_1/0           1        0.50000000         -0.44575015    -0.44519044
    SCEL3_1_1_3_0_0_0/0           1        0.33333333         -0.22717535    -0.23427828
    SCEL3_1_3_1_1_0_0/0           1        0.33333333         -0.24595592    -0.25529859
    SCEL3_3_1_1_0_1_1/0           1        0.33333333         -0.23660307    -0.24213425
    SCEL4_1_1_4_0_0_0/0           1        0.25000000         -0.18112713    -0.18384928
    SCEL4_1_1_4_0_0_0/1           1        0.50000000         -0.21259283    -0.21971270
    SCEL4_1_2_2_0_0_0/0           1        0.25000000         -0.22383110    -0.21698761
    SCEL4_1_4_1_1_0_0/0           1        0.25000000         -0.21157581    -0.21344834
    SCEL4_1_4_1_1_0_0/1           1        0.50000000         -0.25573729    -0.25217405
    SCEL4_1_4_1_2_0_0/0           1        0.25000000         -0.21460144    -0.21553428
    SCEL4_1_4_1_2_0_0/1           1        0.50000000         -0.30346717    -0.30363101
    SCEL4_2_1_2_0_0_1/0           1        0.25000000         -0.24288670    -0.24266522
    SCEL4_2_1_2_0_1_1/0           1        0.25000000         -0.24698359    -0.23782175
    SCEL4_2_1_2_0_1_1/1           1        0.50000000         -0.38608833    -0.37378751
    SCEL4_2_2_1_1_0_1/0           1        0.25000000         -0.21864866    -0.21931375
    SCEL4_2_2_1_1_0_1/1           1        0.50000000         -0.34751141    -0.34733501
    SCEL4_2_2_1_1_1_0/0           1        0.25000000         -0.23648967    -0.23842860
    SCEL4_4_1_1_0_3_3/0           1        0.25000000         -0.23436417    -0.21697161
    SCEL4_4_1_1_0_3_3/1           1        0.50000000         -0.29136835    -0.28205905
    SCEL5_1_1_5_0_0_0/0           1        0.20000000         -0.15086913    -0.14707942
    SCEL5_1_1_5_0_0_0/1           1        0.40000000         -0.18594287    -0.18228262
    SCEL5_1_1_5_0_0_0/2           1        0.40000000         -0.25911951    -0.25383117
    SCEL5_1_5_1_2_0_0/0           1        0.20000000         -0.17944698    -0.17446458
    SCEL5_1_5_1_2_0_0/1           1        0.40000000         -0.27854054    -0.26552428
    SCEL5_1_5_1_4_0_0/0           1        0.20000000         -0.17517913    -0.18085659
    SCEL5_1_5_1_4_0_0/1           1        0.40000000         -0.22866903    -0.23951460
    SCEL5_1_5_1_4_0_0/2           1        0.40000000         -0.30178427    -0.29167066
    SCEL5_5_1_1_0_1_1/0           1        0.20000000         -0.17652589    -0.17602861
    SCEL5_5_1_1_0_1_1/1           1        0.40000000         -0.31636413    -0.31813443
    SCEL5_5_1_1_0_1_1/2           1        0.40000000         -0.25310689    -0.27248109
    SCEL5_5_1_1_0_3_1/0           1        0.20000000         -0.18699769    -0.17813131
    SCEL5_5_1_1_0_3_1/1           1        0.40000000         -0.31487488    -0.30692992
    SCEL5_5_1_1_0_3_1/2           1        0.40000000         -0.29790289    -0.29064335
