#            configname    selected           comp(a)    formation_energy        clex()
    SCEL6_1_2_3_0_0_0/3           1        0.50000000         -0.31023150    -0.29127317
    SCEL6_1_2_3_0_0_0/4           1        0.50000000         -0.26877876    -0.27023798
    SCEL6_1_2_3_0_0_0/5           1        0.66666667         -0.22780846    -0.23698211
    SCEL6_1_2_3_0_0_0/6           1        0.66666667         -0.22689801    -0.23089748
    SCEL6_1_2_3_0_0_0/7           1        0.83333333         -0.11710623    -0.12274533
    SCEL6_1_2_3_1_0_0/0           1        0.16666667         -0.15315115    -0.15869531
    SCEL6_1_2_3_1_0_0/1           1        0.33333333         -0.25664693    -0.25021184
    SCEL6_1_2_3_1_0_0/2           1        0.33333333         -0.26997723    -0.26932858
    SCEL6_1_2_3_1_0_0/3           1        0.50000000         -0.29159387    -0.27867249
    SCEL6_1_2_3_1_0_0/4           1        0.50000000         -0.26790747    -0.27023798
    SCEL6_1_2_3_1_0_0/5           1        0.66666667         -0.22067955    -0.22438143
    SCEL6_1_2_3_1_0_0/6           1        0.66666667         -0.23227193    -0.24349817
    SCEL6_1_2_3_1_0_0/7           1        0.83333333         -0.11947658    -0.12274533
    SCEL6_1_3_2_1_0_0/0           1        0.16666667         -0.14564737    -0.16041460
    SCEL6_1_3_2_1_0_0/1           1        0.33333333         -0.24820136    -0.25180579
    SCEL6_1_3_2_1_0_0/2           1        0.33333333         -0.24886180    -0.25844718
    SCEL6_1_3_2_1_0_0/3           1        0.50000000         -0.26561163    -0.27367655
    SCEL6_1_3_2_1_0_0/4           1        0.50000000         -0.29080710    -0.28419414
    SCEL6_1_3_2_1_0_0/5           1        0.66666667         -0.21845321    -0.23383079
    SCEL6_1_3_2_1_0_0/6           1        0.66666667         -0.22703972    -0.23261677
    SCEL6_1_3_2_1_0_0/7           1        0.83333333         -0.12035033    -0.12446461
    SCEL6_1_6_1_1_0_0/0           1        0.16666667         -0.15338298    -0.14209931
    SCEL6_1_6_1_1_0_0/1           1        0.33333333         -0.21916237    -0.19211464
    SCEL6_1_6_1_1_0_0/2           1        0.33333333         -0.26349247    -0.25273257
    SCEL6_1_6_1_1_0_0/3           1        0.50000000         -0.21817181    -0.20352553
    SCEL6_1_6_1_1_0_0/4           1        0.50000000         -0.27772116    -0.26980656
    SCEL6_1_6_1_1_0_0/5           1        0.66666667         -0.19399079    -0.18199507
    SCEL6_1_6_1_1_0_0/6           1        0.66666667         -0.22483736    -0.23475758
    SCEL6_1_6_1_1_0_0/7           1        0.83333333         -0.11634207    -0.11400474
    SCEL6_2_1_3_0_0_1/0           1        0.16666667         -0.16325545    -0.17328748
    SCEL6_2_1_3_0_0_1/1           1        0.33333333         -0.28555928    -0.30969915
    SCEL6_2_1_3_0_0_1/2           1        0.33333333         -0.29086322    -0.28392074
    SCEL6_2_1_3_0_0_1/3           1        0.50000000         -0.40469766    -0.36846279
    SCEL6_2_1_3_0_0_1/4           1        0.50000000         -0.28777840    -0.29268556
    SCEL6_2_1_3_0_0_1/5           1        0.66666667         -0.27974252    -0.29957958
    SCEL6_2_1_3_0_0_1/6           1        0.66666667         -0.26576188    -0.27380116
    SCEL6_2_1_3_0_0_1/7           1        0.83333333         -0.14628121    -0.15304832
    SCEL6_2_1_3_0_1_1/0           1        0.16666667         -0.16846861    -0.17328748
    SCEL6_2_1_3_0_1_1/1           1        0.33333333         -0.29349691    -0.28146126
    SCEL6_2_1_3_0_1_1/2           1        0.33333333         -0.30786608    -0.31215863
    SCEL6_2_1_3_0_1_1/3           1        0.50000000         -0.35456186    -0.34022490
    SCEL6_2_1_3_0_1_1/4           1        0.50000000         -0.28851517    -0.29268556
    SCEL6_2_1_3_0_1_1/5           1        0.66666667         -0.25385148    -0.27134169
    SCEL6_2_1_3_0_1_1/6           1        0.66666667         -0.28954428    -0.30203905
    SCEL6_2_1_3_0_1_1/7           1        0.83333333         -0.14546272    -0.15304832
    SCEL6_3_1_2_0_2_1/0           1        0.16666667         -0.15083332    -0.17065935
    SCEL6_3_1_2_0_2_1/1           1        0.33333333         -0.24971681    -0.27723558
    SCEL6_3_1_2_0_2_1/2           1        0.33333333         -0.27597750    -0.26869193
    SCEL6_3_1_2_0_2_1/3           1        0.50000000         -0.31047407    -0.29619121
    SCEL6_3_1_2_0_2_1/4           1        0.50000000         -0.34301996    -0.31545420
    SCEL6_3_1_2_0_2_1/5           1        0.66666667         -0.25305821    -0.25926059
    SCEL6_3_1_2_0_2_1/6           1        0.66666667         -0.24934075    -0.25071694
    SCEL6_3_1_2_0_2_1/7           1        0.83333333         -0.14044144    -0.14256478
    SCEL6_3_2_1_0_1_0/0           1        0.16666667         -0.14794656    -0.17283475
    SCEL6_3_2_1_0_1_0/1           1        0.33333333         -0.26021198    -0.29692165
    SCEL6_3_2_1_0_1_0/2           1        0.33333333         -0.28090271    -0.27086732
    SCEL6_3_2_1_0_1_0/3           1        0.50000000         -0.36936176    -0.33906798
    SCEL6_3_2_1_0_1_0/4           1        0.50000000         -0.31145900    -0.30054200
